dataset_id,dataset_name,model,leap_module,leap_branch,leap_variable,leap_unit,nemo_component,nemo_mapping,sdmx_dataflow_id,required_grain,normalized_dataset_path,candidate_evidence_count,top_evidence_ids,top_institutions,top_source_urls,detected_years,detected_units,validation_status,sdmx_gate_status,release_state,blockers,next_action
RW_ENBAL_TOTAL_2015_2024,National energy balance,LEAP/NEMO,Demand; Transformation,Key Assumptions/Energy Balance,Final Energy,TJ; ktoe,fuel_balance,Fuel balance by year,DF_RW_ENBAL_TOTAL,annual,data/master/normalized/common/RW_ENBAL_TOTAL_2015_2024.csv,0,,,,,,candidate,blocked,needs_crawler_evidence,candidate_evidence_present; transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Run crawler again or manually add official source evidence for this dataset.
RW_PWR_GEN_TECH_GWH,Electricity generation,LEAP/NEMO,Transformation,Transformation/Electricity Generation,Activity Level,GWh,technology_activity,Generation by technology and year,DF_RW_PWR_GEN_TECH_GWH,annual,data/master/normalized/leap/transformation/generation/RW_PWR_GEN_TECH_GWH.csv,5,0f76a61003385eff; 8b2a75cf8879eb16; 69683aadff0aaf75; 91276c4d50865c84; 74d36082585f94cf,NISR; REMA; RTDA; RURA,https://statistics.gov.rw/data-revolution; https://www.rema.gov.rw/home?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=56352&cHash=49d87427e0d920d5e8fe1427a5c94da5; https://www.rema.gov.rw/home; +2 more,2017; 2019; 2020; 2022; 2030; 2050; 2026; 2019; 2021; 2024; 2025; 2026; 2025; 2015; 2022; 2024; 2026; 2027,kg,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PWR_CAP_TECH_MW,Installed capacity,LEAP/NEMO,Transformation,Transformation/Existing Capacity,Capacity,MW,capacity,Residual capacity by technology and year,DF_RW_PWR_CAP_TECH_MW,annual,data/master/normalized/leap/transformation/generation/RW_PWR_CAP_TECH_MW.csv,9,8dfb9a1d9164eb63; 82f627efbd5542c0; 0f76a61003385eff; 6dad7c9c809987eb; ac7686e69f62d595,MININFRA; NISR; REMA,https://www.mininfra.gov.rw/updates/news-details/rwanda-advances-irrigation-and-transport-infrastructure-to-boost-productivity-and-trade; https://www.mininfra.gov.rw/updates/news-details/rwanda-and-international-solar-alliance-sign-strategic-partnership-to-accelerate-solar-power-initiatives-1; https://statistics.gov.rw/data-revolution; +2 more,2025; 2026; 2050; 2017; 2019; 2020; 2022; 2030; 2050; 2026; 2025; 2026; 2025; +1 more,kg,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_RES_COOK_FUEL_SHARE,Residential cooking,LEAP/NEMO,Demand,Demand/Households/Cooking,Fuel Share,%; TJ,demand_fuel_share,Cooking fuel share by fuel and year,DF_RW_RES_COOK_FUEL_SHARE,annual,data/master/normalized/leap/demand/residential/RW_RES_COOK_FUEL_SHARE.csv,2,82f627efbd5542c0; 8e92cdb171ecf629,MININFRA; RURA,https://www.mininfra.gov.rw/updates/news-details/rwanda-and-international-solar-alliance-sign-strategic-partnership-to-accelerate-solar-power-initiatives-1; https://www.rura.rw/publications/tariffs,2025; 2026; 2050; 2016; 2020; 2021; 2022; 2024; 2025; 2026; 2027,,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,LEAP/NEMO,Resources,Resources/Biomass,Resource Availability,TJ; tonnes,fuel_constraint,Biomass fuel constraint by year,DF_RW_BIOMASS_CHARCOAL_TJ,annual,data/master/normalized/leap/resources/biomass_charcoal/RW_BIOMASS_CHARCOAL_TJ.csv,0,,,,,,candidate,blocked,needs_crawler_evidence,candidate_evidence_present; transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Run crawler again or manually add official source evidence for this dataset.
RW_TRANSPORT_FUEL_TJ,Transport fuels,LEAP/NEMO,Demand,Demand/Transport,Energy Demand,TJ; litres,demand_proxy,Transport fuel demand by fuel and year,DF_RW_TRANSPORT_FUEL_TJ,annual,data/master/normalized/leap/demand/transport/RW_TRANSPORT_FUEL_TJ.csv,25,d87fae043714f7d5; 8dfb9a1d9164eb63; 82f627efbd5542c0; 9e93322c35272cbc; cd15f23a8b42b679,MININFRA; NISR,https://www.mininfra.gov.rw/; https://www.mininfra.gov.rw/updates/news-details/rwanda-advances-irrigation-and-transport-infrastructure-to-boost-productivity-and-trade; https://www.mininfra.gov.rw/updates/news-details/rwanda-and-international-solar-alliance-sign-strategic-partnership-to-accelerate-solar-power-initiatives-1; +2 more,2020; 2026; 2025; 2026; 2050; 2025; 2026; 2016; 2020; 2024; 2023; 2024; 2025; 2026; +7 more,kg,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_SOCIO_GDP_POP,Socioeconomic drivers,LEAP/NEMO,Key Assumptions,Key Assumptions/Socioeconomics,Driver,people; RWF; USD,demand_driver,Population GDP and macro drivers by year,DF_RW_SOCIO_GDP_POP,annual,data/master/normalized/leap/socioeconomic/RW_SOCIO_GDP_POP.csv,18,9e93322c35272cbc; 8329f77729db3986; a53a0d045033346c; cd15f23a8b42b679; f5f7eec42117013c,NISR,https://statistics.gov.rw/statistical-publications/price-indices-cpi-ppi/consumer-price-index-cpi-april-2026; https://statistics.gov.rw/data-portals-e-gddssdds; https://statistics.gov.rw/data-sources/surveys/Demographic-and-Health-Survey/demographic-and-health-survey-2025; +2 more,2025; 2026; 2015; 2020; 2030; 2020; 2025; 2016; 2020; 2024; 2023; 2024; 2025; 2026; +5 more,rwf; kg,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_EF_FUEL_IPCC,Emission factors,LEAP/NEMO,Effects,Effects/Emissions,Emission Factor,tCO2e/TJ,emission_factor,Emission factor by fuel or technology,DF_RW_EF_FUEL_IPCC,annual,data/master/normalized/leap/emissions/RW_EF_FUEL_IPCC.csv,11,82f627efbd5542c0; 8329f77729db3986; 6dad7c9c809987eb; 8b2a75cf8879eb16; e10a1426ae7273a0,MININFRA; NISR; REMA,https://www.mininfra.gov.rw/updates/news-details/rwanda-and-international-solar-alliance-sign-strategic-partnership-to-accelerate-solar-power-initiatives-1; https://statistics.gov.rw/data-portals-e-gddssdds; https://www.rema.gov.rw/updates/news-details/african-ldcs-to-host-first-ever-centralized-review-of-transparency-reports-in-rwanda; +2 more,2025; 2026; 2050; 2015; 2020; 2030; 2026; 2019; 2021; 2024; 2025; 2026; 2020; 2021; 2022; 2025; 2026; 2030; +2 more,,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_TECH_COSTS,Technology costs,LEAP/NEMO,Transformation,Transformation/Technology Costs,Cost,USD/kW; USD/MWh,cost,Technology CAPEX OPEX and fuel costs,DF_RW_TECH_COSTS,annual,data/master/normalized/nemo/costs/RW_TECH_COSTS.csv,11,6dad7c9c809987eb; e0206d153b970900; 38f3d9b74aff7082; 3e2dbcc6b63c224e; 9ae1802142f0a719,REMA; MINECOFIN; RURA,https://www.rema.gov.rw/updates/news-details/african-ldcs-to-host-first-ever-centralized-review-of-transparency-reports-in-rwanda; https://www.minecofin.gov.rw/news-detail/directors-of-climate-finance-in-eac-convene-in-kigali-to-accelerate-climate-finance-for-a-resilient-future; https://www.minecofin.gov.rw/; +2 more,2026; 2025; 2026; 2022; 2026; 2027; 2015; 2022; 2024; 2026; 2027; 2016; 2020; 2021; 2022; 2024; 2025; 2026; 2027; +1 more,,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PROJECT_PIPELINE,Project pipeline,LEAP/NEMO,Transformation,Transformation/Planned Additions,Capacity Addition,MW; USD; status,candidate_technology,Project pipeline by technology and status,DF_RW_PROJECT_PIPELINE,annual,data/master/normalized/nemo/technologies/RW_PROJECT_PIPELINE.csv,16,8dfb9a1d9164eb63; cd15f23a8b42b679; f1fc330bfca39b87; e10a1426ae7273a0; 69683aadff0aaf75,MININFRA; NISR; REMA,https://www.mininfra.gov.rw/updates/news-details/rwanda-advances-irrigation-and-transport-infrastructure-to-boost-productivity-and-trade; https://statistics.gov.rw/statistical-publications/business-establishment-finance-trade/finscope-survey-2024; https://statistics.gov.rw/; +2 more,2025; 2026; 2050; 2016; 2020; 2024; 2019; 2020; 2024; 2025; 2026; 2026; 2019; 2021; 2024; 2025; 2026; +4 more,rwf; kg,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
