dataset_id,dataset_name,model,leap_module,leap_branch,leap_variable,leap_unit,nemo_component,nemo_mapping,sdmx_dataflow_id,required_grain,normalized_dataset_path,candidate_evidence_count,top_evidence_ids,top_institutions,top_source_urls,detected_years,detected_units,validation_status,sdmx_gate_status,release_state,blockers,next_action
RW_ENBAL_TOTAL_2015_2024,National energy balance,NEMO,Demand; Transformation,Key Assumptions/Energy Balance,Final Energy,TJ; ktoe,fuel_balance,Fuel balance by year,DF_RW_ENBAL_TOTAL,annual,data/master/normalized/common/RW_ENBAL_TOTAL_2015_2024.csv,3,b782d842626b22b5; 0ffcec8123107309; 3044a8c373de3e30,SEforALL; World Bank,https://www.seforall.org/impact-areas/ending-energy-poverty; https://www.seforall.org/publications/threads-of-transformation-fashion-energy-women-at-the-intersection-of-climate-action; https://data.worldbank.org/indicator/EG.ELC.RNWX.ZS?locations=RW,2025; 2030; 2023; 2025; 2030; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2050,kwh; kwh; tonnes; gwh; kg; kw; kwh; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PWR_GEN_TECH_GWH,Electricity generation,NEMO,Transformation,Transformation/Electricity Generation,Activity Level,GWh,technology_activity,Generation by technology and year,DF_RW_PWR_GEN_TECH_GWH,annual,data/master/normalized/leap/transformation/generation/RW_PWR_GEN_TECH_GWH.csv,20,13670d0ac1921b6e; 8a45e88de5eec18c; bad262274d52c162; 0f76a61003385eff; 5bfe6b24e1f662fe,EDCL; EUCL; NISR; REG,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/about-us/subsidiaries/eucl/; https://www.reg.rw/what-we-do/generation/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2017; 2019; 2020; 2022; 2030; 2050; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2021; 2022; 2023; 2024; 2025; 2026; 2030; 2050; +12 more,kwh; mw; tonnes; mw; kg; %; kg; rwf; gwh; kg; kw; kwh; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PWR_CAP_TECH_MW,Installed capacity,NEMO,Transformation,Transformation/Existing Capacity,Capacity,MW,capacity,Residual capacity by technology and year,DF_RW_PWR_CAP_TECH_MW,annual,data/master/normalized/leap/transformation/generation/RW_PWR_CAP_TECH_MW.csv,51,8a45e88de5eec18c; bad262274d52c162; b56ac821c17b5594; 8dfb9a1d9164eb63; 82f627efbd5542c0,EUCL; MININFRA,https://www.reg.rw/about-us/subsidiaries/eucl/; https://www.reg.rw/what-we-do/generation/; https://www.mininfra.gov.rw/updates/news-details/energy-partnership-between-rwanda-and-tanzania-advances-regional-integration-agenda; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2025; 2026; 2050; 2017; 2019; 2020; 2022; 2030; 2050; 2015; 2016; 2017; 2018; 2021; 2022; 2023; 2024; 2025; 2026; 2030; 2050; +33 more,kwh; mw; tonnes; mw; kg; kwh; mw; mwh; %; +2 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_RES_COOK_FUEL_SHARE,Residential cooking,NEMO,Demand,Demand/Households/Cooking,Fuel Share,%; TJ,demand_fuel_share,Cooking fuel share by fuel and year,DF_RW_RES_COOK_FUEL_SHARE,annual,data/master/normalized/leap/demand/residential/RW_RES_COOK_FUEL_SHARE.csv,32,13670d0ac1921b6e; 37e8a9b915518a36; 8a45e88de5eec18c; 8dec88c924dc7129; bad262274d52c162,EDCL; EUCL,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/about-us/subsidiaries/eucl/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; +15 more,kg; rwf; kwh; mw; tonnes; rwf; kwh; mw; +2 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,NEMO,Resources,Resources/Biomass,Resource Availability,TJ; tonnes,fuel_constraint,Biomass fuel constraint by year,DF_RW_BIOMASS_CHARCOAL_TJ,annual,data/master/normalized/leap/resources/biomass_charcoal/RW_BIOMASS_CHARCOAL_TJ.csv,14,37e8a9b915518a36; 8dec88c924dc7129; 65fa4490d54b232f; 34f9483d1625ad7e; eb30f772b58dbdcf,EUCL,https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/customer-service/electricity-saving-tips/; https://www.reg.rw/customer-service/power-outages/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; 2016; 2018; 2023; 2024; 2025; 2030; 2050; +2 more,kg; rwf; rwf; kwh; %,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_TRANSPORT_FUEL_TJ,Transport fuels,NEMO,Demand,Demand/Transport,Energy Demand,TJ; litres,demand_proxy,Transport fuel demand by fuel and year,DF_RW_TRANSPORT_FUEL_TJ,annual,data/master/normalized/leap/demand/transport/RW_TRANSPORT_FUEL_TJ.csv,44,b56ac821c17b5594; d87fae043714f7d5; 8dfb9a1d9164eb63; 82f627efbd5542c0; 9e93322c35272cbc,MININFRA; NISR,https://www.mininfra.gov.rw/updates/news-details/energy-partnership-between-rwanda-and-tanzania-advances-regional-integration-agenda; https://www.mininfra.gov.rw/; https://www.mininfra.gov.rw/updates/news-details/rwanda-advances-irrigation-and-transport-infrastructure-to-boost-productivity-and-trade; +2 more,2025; 2026; 2050; 2020; 2026; 2025; 2026; 2016; 2020; 2024; 2024; 2025; 2026; +15 more,kg; kwh; mw; mwh; %; kg; kw; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_SOCIO_GDP_POP,Socioeconomic drivers,NEMO,Key Assumptions,Key Assumptions/Socioeconomics,Driver,people; RWF; USD,demand_driver,Population GDP and macro drivers by year,DF_RW_SOCIO_GDP_POP,annual,data/master/normalized/leap/socioeconomic/RW_SOCIO_GDP_POP.csv,50,37e8a9b915518a36; ab6173ffca98f249; 9e93322c35272cbc; c31e20850ccb8522; 8329f77729db3986,EUCL; NISR,https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/what-we-do/rbf-programs/rbf-clean-cooking/; https://statistics.gov.rw/statistical-publications/price-indices-cpi-ppi/consumer-price-index-cpi-april-2026; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2025; 2026; 2015; 2020; 2030; 2020; 2025; +25 more,kg; rwf; rwf; kg; tonnes; gwh; kg; kw; kwh; mw; tj; +1 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_EF_FUEL_IPCC,Emission factors,NEMO,Effects,Effects/Emissions,Emission Factor,tCO2e/TJ,emission_factor,Emission factor by fuel or technology,DF_RW_EF_FUEL_IPCC,annual,data/master/normalized/leap/emissions/RW_EF_FUEL_IPCC.csv,92,82f627efbd5542c0; 8329f77729db3986; 6dad7c9c809987eb; 8b2a75cf8879eb16; e10a1426ae7273a0,MININFRA; NISR; REMA,https://www.mininfra.gov.rw/updates/news-details/rwanda-and-international-solar-alliance-sign-strategic-partnership-to-accelerate-solar-power-initiatives-1; https://statistics.gov.rw/data-portals-e-gddssdds; https://www.rema.gov.rw/updates/news-details/african-ldcs-to-host-first-ever-centralized-review-of-transparency-reports-in-rwanda; +2 more,2025; 2026; 2050; 2015; 2020; 2030; 2026; 2019; 2021; 2024; 2025; 2026; 2020; 2021; 2022; 2025; 2026; 2030; +63 more,%; kg; rwf; mw; kwh; mw; mwh; tonnes; kwh; +4 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_TECH_COSTS,Technology costs,NEMO,Transformation,Transformation/Technology Costs,Cost,USD/kW; USD/MWh,cost,Technology CAPEX OPEX and fuel costs,DF_RW_TECH_COSTS,annual,data/master/normalized/nemo/costs/RW_TECH_COSTS.csv,44,13670d0ac1921b6e; 8dec88c924dc7129; 65fa4490d54b232f; 34f9483d1625ad7e; eb30f772b58dbdcf,EDCL; EUCL,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/customer-service/electricity-saving-tips/; https://www.reg.rw/customer-service/power-outages/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; 2016; 2018; 2023; 2024; 2025; 2030; 2050; 2025; 2026; 2050; +25 more,kwh; %; kwh; mw; mwh; kwh; tonnes; kg; kw; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PROJECT_PIPELINE,Project pipeline,NEMO,Transformation,Transformation/Planned Additions,Capacity Addition,MW; USD; status,candidate_technology,Project pipeline by technology and status,DF_RW_PROJECT_PIPELINE,annual,data/master/normalized/nemo/technologies/RW_PROJECT_PIPELINE.csv,95,13670d0ac1921b6e; 37e8a9b915518a36; 8a45e88de5eec18c; 8dec88c924dc7129; bad262274d52c162,EDCL; EUCL,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/about-us/subsidiaries/eucl/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; +58 more,kg; rwf; kwh; mw; tonnes; rwf; kwh; mw; +4 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
